model_id,provider,story_id,emotion,reader_mean_score,character_mean_score,target_shift_abs
anthropic/claude-haiku-4.5,openrouter,T1,anger,20.6,28.0,7.4
anthropic/claude-haiku-4.5,openrouter,T1,interest,72.0,72.0,0.0
anthropic/claude-haiku-4.5,openrouter,T1,sadness,40.3,38.0,2.3
anthropic/claude-haiku-4.5,openrouter,T1,surprise,67.1,65.6,1.5
anthropic/claude-haiku-4.5,openrouter,T2,anger,30.9,58.4,27.5
anthropic/claude-haiku-4.5,openrouter,T2,interest,72.6,72.0,0.6
anthropic/claude-haiku-4.5,openrouter,T2,sadness,20.0,35.0,15.0
anthropic/claude-haiku-4.5,openrouter,T2,surprise,78.4,78.0,0.4
anthropic/claude-haiku-4.5,openrouter,T3,anger,61.2,63.2,2.0
anthropic/claude-haiku-4.5,openrouter,T3,interest,72.0,72.0,0.0
anthropic/claude-haiku-4.5,openrouter,T3,sadness,75.9,76.2,0.3
anthropic/claude-haiku-4.5,openrouter,T3,surprise,67.1,66.1,1.0
deepseek/deepseek-v3.2,openrouter,T1,anger,2.0,1.5,0.5
deepseek/deepseek-v3.2,openrouter,T1,interest,67.5,67.5,0.0
deepseek/deepseek-v3.2,openrouter,T1,sadness,4.5,3.0,1.5
deepseek/deepseek-v3.2,openrouter,T1,surprise,54.5,49.5,5.0
deepseek/deepseek-v3.2,openrouter,T2,anger,15.5,50.5,35.0
deepseek/deepseek-v3.2,openrouter,T2,interest,85.0,86.0,1.0
deepseek/deepseek-v3.2,openrouter,T2,sadness,6.5,8.5,2.0
deepseek/deepseek-v3.2,openrouter,T2,surprise,90.5,88.0,2.5
deepseek/deepseek-v3.2,openrouter,T3,anger,60.5,76.0,15.5
deepseek/deepseek-v3.2,openrouter,T3,interest,51.5,39.0,12.5
deepseek/deepseek-v3.2,openrouter,T3,sadness,78.1,85.0,6.9
deepseek/deepseek-v3.2,openrouter,T3,surprise,66.0,62.0,4.0
openai/gpt-5-mini,openrouter,T1,anger,5.0,4.0,1.0
openai/gpt-5-mini,openrouter,T1,interest,65.0,50.0,15.0
openai/gpt-5-mini,openrouter,T1,sadness,10.0,47.0,37.0
openai/gpt-5-mini,openrouter,T1,surprise,48.0,39.0,9.0
openai/gpt-5-mini,openrouter,T2,anger,13.0,54.0,41.0
openai/gpt-5-mini,openrouter,T2,interest,70.5,49.0,21.5
openai/gpt-5-mini,openrouter,T2,sadness,17.5,55.5,38.0
openai/gpt-5-mini,openrouter,T2,surprise,83.5,83.5,0.0
openai/gpt-5-mini,openrouter,T3,anger,51.0,65.0,14.0
openai/gpt-5-mini,openrouter,T3,interest,65.2,55.0,10.2
openai/gpt-5-mini,openrouter,T3,sadness,81.5,84.5,3.0
openai/gpt-5-mini,openrouter,T3,surprise,38.5,48.0,9.5
