model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share
anthropic/claude-sonnet-4.5,T1,anger,True,0,267.0,1.66,4.98,0.018199,0.981801
anthropic/claude-sonnet-4.5,T1,interest,True,0,2106.75,20.75,62.25,0.028428,0.971572
anthropic/claude-sonnet-4.5,T1,sadness,True,0,1486.6875,9.1875,9.5625,0.006352,0.993648
anthropic/claude-sonnet-4.5,T1,surprise,True,0,3902.4275,8.9475,66.9025,0.016817,0.983183
anthropic/claude-sonnet-4.5,T2,anger,True,0,2123.45,17.25,29.85,0.013752,0.986248
anthropic/claude-sonnet-4.5,T2,interest,True,0,110.0675,0.4275,0.6825,0.006139,0.993861
anthropic/claude-sonnet-4.5,T2,sadness,True,0,2967.6475,5.7675,26.5025,0.008834,0.991166
anthropic/claude-sonnet-4.5,T2,surprise,True,0,660.42,6.34,12.4,0.018258,0.981742
anthropic/claude-sonnet-4.5,T3,anger,True,0,8010.0275,42.0675,57.5025,0.007091,0.992909
anthropic/claude-sonnet-4.5,T3,interest,True,0,2642.5475,9.7275,48.0625,0.017799,0.982201
anthropic/claude-sonnet-4.5,T3,sadness,True,0,12319.8675,11.4875,57.1625,0.004614,0.995386
anthropic/claude-sonnet-4.5,T3,surprise,True,0,4432.18,7.46,59.52,0.013229,0.986771
deepseek/deepseek-v3.2,T1,anger,True,0,200.75,16.25,24.75,0.102378,0.897622
deepseek/deepseek-v3.2,T1,interest,True,0,3836.1875,18.1875,92.5625,0.023452,0.976548
deepseek/deepseek-v3.2,T1,sadness,True,0,782.1875,2.6875,37.5625,0.045672,0.954328
deepseek/deepseek-v3.2,T1,surprise,True,0,5472.1875,24.1875,191.5625,0.033679,0.966321
deepseek/deepseek-v3.2,T2,anger,True,0,668.75,216.75,98.25,0.099873,0.900127
deepseek/deepseek-v3.2,T2,interest,True,0,897.6875,6.6875,83.0625,0.084119,0.915881
deepseek/deepseek-v3.2,T2,sadness,True,0,646.5,32.5,63.0,0.084906,0.915094
deepseek/deepseek-v3.2,T2,surprise,True,0,591.1875,27.1875,101.0625,0.140474,0.859526
