model_id,story_id,emotion,persona_id,temp_0_1,temp_0_4,temp_0_7,temp_0_9
anthropic/claude-sonnet-4.5,T1,anger,p1,8.0,8.0,8.0,8.0
anthropic/claude-sonnet-4.5,T1,anger,p2,8.0,8.0,8.0,8.0
anthropic/claude-sonnet-4.5,T1,anger,p3,10.8,10.8,9.4,13.0
anthropic/claude-sonnet-4.5,T1,anger,p4,0.0,0.0,0.0,0.0
anthropic/claude-sonnet-4.5,T1,interest,p1,72.0,72.0,72.0,72.0
anthropic/claude-sonnet-4.5,T1,interest,p2,72.0,72.0,72.0,72.0
anthropic/claude-sonnet-4.5,T1,interest,p3,72.0,72.0,72.0,72.0
anthropic/claude-sonnet-4.5,T1,interest,p4,45.0,43.0,41.0,53.0
anthropic/claude-sonnet-4.5,T1,sadness,p1,15.0,15.0,15.0,15.0
anthropic/claude-sonnet-4.5,T1,sadness,p2,15.0,15.0,15.0,15.0
anthropic/claude-sonnet-4.5,T1,sadness,p3,27.0,27.0,27.0,31.0
anthropic/claude-sonnet-4.5,T1,sadness,p4,0.0,0.0,0.0,3.0
anthropic/claude-sonnet-4.5,T1,surprise,p1,68.0,68.0,68.0,67.4
anthropic/claude-sonnet-4.5,T1,surprise,p2,65.0,65.6,66.8,63.6
anthropic/claude-sonnet-4.5,T1,surprise,p3,68.0,68.0,67.4,68.0
anthropic/claude-sonnet-4.5,T1,surprise,p4,30.0,29.0,27.0,38.0
anthropic/claude-sonnet-4.5,T2,anger,p1,25.0,25.0,25.0,22.4
anthropic/claude-sonnet-4.5,T2,anger,p2,25.0,25.0,25.0,25.0
anthropic/claude-sonnet-4.5,T2,anger,p3,35.0,35.6,38.4,35.6
anthropic/claude-sonnet-4.5,T2,anger,p4,0.0,3.2,8.0,5.6
anthropic/claude-sonnet-4.5,T2,interest,p1,78.0,78.0,78.0,78.0
anthropic/claude-sonnet-4.5,T2,interest,p2,78.0,78.0,78.2,77.4
anthropic/claude-sonnet-4.5,T2,interest,p3,78.0,78.0,79.0,78.0
