metric,model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share,total_SS
score,anthropic/claude-sonnet-4.5,T1,anger,True,0,267.0,1.66,4.98,0.018199,0.981801,273.64
score,anthropic/claude-sonnet-4.5,T1,interest,True,0,2106.75,20.75,62.25,0.028428,0.971572,2189.75
score,anthropic/claude-sonnet-4.5,T1,sadness,True,0,1486.6875,9.1875,9.5625,0.006352,0.993648,1505.4375
score,anthropic/claude-sonnet-4.5,T1,surprise,True,0,3902.4275,8.9475,66.9025,0.016817,0.983183,3978.2775
score,anthropic/claude-sonnet-4.5,T2,anger,True,0,2123.45,17.25,29.85,0.013752,0.986248,2170.55
score,anthropic/claude-sonnet-4.5,T2,interest,True,0,110.0675,0.4275,0.6825,0.006139,0.993861,111.1775
score,anthropic/claude-sonnet-4.5,T2,sadness,True,0,2967.6475,5.7675,26.5025,0.008834,0.991166,2999.9175
score,anthropic/claude-sonnet-4.5,T2,surprise,True,0,660.42,6.34,12.4,0.018258,0.981742,679.16
score,anthropic/claude-sonnet-4.5,T3,anger,True,0,8010.0275,42.0675,57.5025,0.007091,0.992909,8109.5975
score,anthropic/claude-sonnet-4.5,T3,interest,True,0,2642.5475,9.7275,48.0625,0.017799,0.982201,2700.3375
score,anthropic/claude-sonnet-4.5,T3,sadness,True,0,12319.8675,11.4875,57.1625,0.004614,0.995386,12388.5175
score,anthropic/claude-sonnet-4.5,T3,surprise,True,0,4432.18,7.46,59.52,0.013229,0.986771,4499.16
score,deepseek/deepseek-v3.2,T1,anger,True,0,200.75,16.25,24.75,0.102378,0.897622,241.75
score,deepseek/deepseek-v3.2,T1,interest,True,0,3836.1875,18.1875,92.5625,0.023452,0.976548,3946.9375
score,deepseek/deepseek-v3.2,T1,sadness,True,0,782.1875,2.6875,37.5625,0.045672,0.954328,822.4375
score,deepseek/deepseek-v3.2,T1,surprise,True,0,5472.1875,24.1875,191.5625,0.033679,0.966321,5687.9375
score,deepseek/deepseek-v3.2,T2,anger,True,0,668.75,216.75,98.25,0.099873,0.900127,983.75
score,deepseek/deepseek-v3.2,T2,interest,True,0,897.6875,6.6875,83.0625,0.084119,0.915881,987.4375
score,deepseek/deepseek-v3.2,T2,sadness,True,0,646.5,32.5,63.0,0.084906,0.915094,742.0
score,deepseek/deepseek-v3.2,T2,surprise,True,0,591.1875,27.1875,101.0625,0.140474,0.859526,719.4375
score,deepseek/deepseek-v3.2,T3,anger,True,0,1838.75,82.25,362.75,0.15884,0.84116,2283.75
score,deepseek/deepseek-v3.2,T3,interest,True,0,2629.25,22.25,80.25,0.029377,0.970623,2731.75
score,deepseek/deepseek-v3.2,T3,sadness,True,0,9244.6875,13.6875,380.0625,0.039432,0.960568,9638.4375
score,deepseek/deepseek-v3.2,T3,surprise,True,0,4887.5,216.5,218.0,0.040962,0.959038,5322.0
score,google/gemini-2.5-pro,T1,anger,True,0,0.75,0.75,2.25,0.6,0.4,3.75
score,google/gemini-2.5-pro,T1,interest,True,0,2992.1875,96.6875,282.5625,0.083811,0.916189,3371.4375
score,google/gemini-2.5-pro,T1,sadness,True,0,475.6875,4.6875,9.0625,0.018516,0.981484,489.4375
score,google/gemini-2.5-pro,T1,surprise,True,0,4797.5,12.5,164.0,0.032971,0.967029,4974.0
score,google/gemini-2.5-pro,T2,anger,True,0,145.6875,26.1875,44.5625,0.205891,0.794109,216.4375
score,google/gemini-2.5-pro,T2,interest,True,0,1512.1875,70.6875,112.5625,0.066391,0.933609,1695.4375
score,google/gemini-2.5-pro,T2,sadness,True,0,938.75,4.75,44.25,0.044799,0.955201,987.75
score,google/gemini-2.5-pro,T2,surprise,True,0,157.6875,11.1875,30.5625,0.153243,0.846757,199.4375
score,google/gemini-2.5-pro,T3,anger,True,0,20638.1875,4.1875,14.0625,0.000681,0.999319,20656.4375
score,google/gemini-2.5-pro,T3,interest,True,0,8468.1875,42.1875,176.5625,0.020325,0.979675,8686.9375
score,google/gemini-2.5-pro,T3,sadness,True,0,19987.25,15.25,77.25,0.003847,0.996153,20079.75
score,google/gemini-2.5-pro,T3,surprise,True,0,5652.0,57.5,292.5,0.048734,0.951266,6002.0
score,meta-llama/llama-4-maverick,T1,anger,True,0,235.0,77.0,127.0,0.289294,0.710706,439.0
score,meta-llama/llama-4-maverick,T1,interest,True,0,1323.0,3.0,9.0,0.006742,0.993258,1335.0
score,meta-llama/llama-4-maverick,T1,sadness,True,0,914.75,66.75,92.25,0.085914,0.914086,1073.75
score,meta-llama/llama-4-maverick,T1,surprise,True,0,3732.75,0.75,54.25,0.014322,0.985678,3787.75
score,meta-llama/llama-4-maverick,T2,anger,True,0,3254.75,18.75,68.25,0.020423,0.979577,3341.75
score,meta-llama/llama-4-maverick,T2,interest,True,0,49.0,17.0,37.0,0.359223,0.640777,103.0
score,meta-llama/llama-4-maverick,T2,sadness,True,0,1118.75,2.75,8.25,0.007303,0.992697,1129.75
score,meta-llama/llama-4-maverick,T2,surprise,True,0,33.0,17.0,45.0,0.473684,0.526316,95.0
score,meta-llama/llama-4-maverick,T3,anger,True,0,297.0,51.0,195.0,0.359116,0.640884,543.0
score,meta-llama/llama-4-maverick,T3,interest,True,0,363.0,5.0,15.0,0.039164,0.960836,383.0
score,meta-llama/llama-4-maverick,T3,sadness,True,0,666.75,50.75,136.25,0.15959,0.84041,853.75
score,meta-llama/llama-4-maverick,T3,surprise,True,0,1421.0,29.0,21.0,0.014276,0.985724,1471.0
score,openai/gpt-5.4,T1,anger,True,0,36.54,3.26,11.04,0.217152,0.782848,50.84
score,openai/gpt-5.4,T1,interest,True,0,1103.04,5.84,13.2,0.011764,0.988236,1122.08
score,openai/gpt-5.4,T1,sadness,True,0,122.3075,0.9875,1.4425,0.011564,0.988436,124.7375
score,openai/gpt-5.4,T1,surprise,True,0,872.9675,4.8275,8.6025,0.009705,0.990295,886.3975
score,openai/gpt-5.4,T2,anger,True,0,422.7275,20.7675,29.0025,0.061381,0.938619,472.4975
score,openai/gpt-5.4,T2,interest,True,0,368.33,1.17,5.21,0.013904,0.986096,374.71
score,openai/gpt-5.4,T2,sadness,True,0,467.5275,1.6475,7.3425,0.015409,0.984591,476.5175
score,openai/gpt-5.4,T2,surprise,True,0,64.21,0.09,3.21,0.047549,0.952451,67.51
score,openai/gpt-5.4,T3,anger,True,0,239.13,0.75,40.75,0.145209,0.854791,280.63
score,openai/gpt-5.4,T3,interest,True,0,771.4875,5.8275,5.9025,0.007536,0.992464,783.2175
