omitted_model_id,metric,emotion,n_units,full_mean_interaction_burden,leave_one_out_mean_interaction_burden,delta_interaction_burden,full_mean_persona_share,leave_one_out_mean_persona_share
anthropic/claude-sonnet-4.5,H_norm_sigmoid_s_v1,anger,15,0.282550667,0.282469067,-8.16e-05,0.610205001,0.603135528
anthropic/claude-sonnet-4.5,H_norm_sigmoid_s_v1,interest,15,0.135054167,0.151044533,0.015990366,0.81661386,0.795225566
anthropic/claude-sonnet-4.5,H_norm_sigmoid_s_v1,sadness,15,0.095581,0.111506933,0.015925933,0.870591902,0.849523329
anthropic/claude-sonnet-4.5,H_norm_sigmoid_s_v1,surprise,15,0.198217222,0.227831867,0.029614645,0.733133084,0.691737984
anthropic/claude-sonnet-4.5,score,anger,15,0.131655278,0.155383533,0.023728255,0.808339565,0.77389035
anthropic/claude-sonnet-4.5,score,interest,15,0.04554,0.051156933,0.005616933,0.936769155,0.928742249
anthropic/claude-sonnet-4.5,score,sadness,15,0.034137611,0.039645133,0.005507522,0.953340768,0.945925804
anthropic/claude-sonnet-4.5,score,surprise,15,0.069986944,0.080764067,0.010777123,0.900213073,0.884358766
deepseek/deepseek-v3.2,H_norm_sigmoid_s_v1,anger,15,0.282550667,0.248298067,-0.0342526,0.610205001,0.64739304
deepseek/deepseek-v3.2,H_norm_sigmoid_s_v1,interest,15,0.135054167,0.1360064,0.000952233,0.81661386,0.815580801
deepseek/deepseek-v3.2,H_norm_sigmoid_s_v1,sadness,15,0.095581,0.081258467,-0.014322533,0.870591902,0.89452626
deepseek/deepseek-v3.2,H_norm_sigmoid_s_v1,surprise,15,0.198217222,0.180983667,-0.017233555,0.733133084,0.761753131
deepseek/deepseek-v3.2,score,anger,15,0.131655278,0.1339136,0.002258322,0.808339565,0.815651142
deepseek/deepseek-v3.2,score,interest,15,0.04554,0.045518133,-2.1867e-05,0.936769155,0.934554539
deepseek/deepseek-v3.2,score,sadness,15,0.034137611,0.029631133,-0.004506478,0.953340768,0.958575465
deepseek/deepseek-v3.2,score,surprise,15,0.069986944,0.069643333,-0.000343611,0.900213073,0.900111531
google/gemini-2.5-pro,H_norm_sigmoid_s_v1,anger,15,0.282550667,0.272597067,-0.0099536,0.610205001,0.62756417
google/gemini-2.5-pro,H_norm_sigmoid_s_v1,interest,15,0.135054167,0.113599933,-0.021454234,0.81661386,0.845109462
