respondent_uid,submitted_at,duration_sec,story_id,emotion,emotion_ja,score,is_complete_case
R001,2024-12-10T14:23:44,111.0,T1,interest,面白さ,59,True
R001,2024-12-10T14:23:44,111.0,T1,surprise,驚き,53,True
R001,2024-12-10T14:23:44,111.0,T1,sadness,悲しみ,1,True
R001,2024-12-10T14:23:44,111.0,T1,anger,怒り,0,True
R001,2024-12-10T14:23:44,111.0,T2,interest,面白さ,45,True
R001,2024-12-10T14:23:44,111.0,T2,surprise,驚き,31,True
R001,2024-12-10T14:23:44,111.0,T2,sadness,悲しみ,56,True
R001,2024-12-10T14:23:44,111.0,T2,anger,怒り,46,True
R001,2024-12-10T14:23:44,111.0,T3,interest,面白さ,75,True
R001,2024-12-10T14:23:44,111.0,T3,surprise,驚き,69,True
R001,2024-12-10T14:23:44,111.0,T3,sadness,悲しみ,1,True
R001,2024-12-10T14:23:44,111.0,T3,anger,怒り,1,True
R002,2024-11-05T11:56:41,32.0,T1,interest,面白さ,69,True
R002,2024-11-05T11:56:41,32.0,T1,surprise,驚き,72,True
R002,2024-11-05T11:56:41,32.0,T1,sadness,悲しみ,73,True
R002,2024-11-05T11:56:41,32.0,T1,anger,怒り,73,True
R002,2024-11-05T11:56:41,32.0,T2,interest,面白さ,41,True
R002,2024-11-05T11:56:41,32.0,T2,surprise,驚き,56,True
R002,2024-11-05T11:56:41,32.0,T2,sadness,悲しみ,60,True
R002,2024-11-05T11:56:41,32.0,T2,anger,怒り,61,True
R002,2024-11-05T11:56:41,32.0,T3,interest,面白さ,86,True
R002,2024-11-05T11:56:41,32.0,T3,surprise,驚き,70,True
R002,2024-11-05T11:56:41,32.0,T3,sadness,悲しみ,76,True
R002,2024-11-05T11:56:41,32.0,T3,anger,怒り,47,True
R003,2024-10-29T15:01:12,117.0,T1,interest,面白さ,61,True
R003,2024-10-29T15:01:12,117.0,T1,surprise,驚き,26,True
R003,2024-10-29T15:01:12,117.0,T1,sadness,悲しみ,0,True
R003,2024-10-29T15:01:12,117.0,T1,anger,怒り,0,True
R003,2024-10-29T15:01:12,117.0,T2,interest,面白さ,64,True
R003,2024-10-29T15:01:12,117.0,T2,surprise,驚き,0,True
R003,2024-10-29T15:01:12,117.0,T2,sadness,悲しみ,87,True
R003,2024-10-29T15:01:12,117.0,T2,anger,怒り,88,True
R003,2024-10-29T15:01:12,117.0,T3,interest,面白さ,95,True
R003,2024-10-29T15:01:12,117.0,T3,surprise,驚き,74,True
R003,2024-10-29T15:01:12,117.0,T3,sadness,悲しみ,0,True
R003,2024-10-29T15:01:12,117.0,T3,anger,怒り,57,True
R004,2024-10-22T12:02:57,164.0,T1,interest,面白さ,80,True
R004,2024-10-22T12:02:57,164.0,T1,surprise,驚き,45,True
R004,2024-10-22T12:02:57,164.0,T1,sadness,悲しみ,13,True
R004,2024-10-22T12:02:57,164.0,T1,anger,怒り,13,True
R004,2024-10-22T12:02:57,164.0,T2,interest,面白さ,71,True
R004,2024-10-22T12:02:57,164.0,T2,surprise,驚き,31,True
R004,2024-10-22T12:02:57,164.0,T2,sadness,悲しみ,74,True
R004,2024-10-22T12:02:57,164.0,T2,anger,怒り,28,True
R004,2024-10-22T12:02:57,164.0,T3,interest,面白さ,99,True
R004,2024-10-22T12:02:57,164.0,T3,surprise,驚き,30,True
R004,2024-10-22T12:02:57,164.0,T3,sadness,悲しみ,27,True
R004,2024-10-22T12:02:57,164.0,T3,anger,怒り,27,True
R005,2024-10-22T11:58:05,179.0,T1,interest,面白さ,50,True
R005,2024-10-22T11:58:05,179.0,T1,surprise,驚き,51,True
R005,2024-10-22T11:58:05,179.0,T1,sadness,悲しみ,50,True
R005,2024-10-22T11:58:05,179.0,T1,anger,怒り,50,True
R005,2024-10-22T11:58:05,179.0,T2,interest,面白さ,50,True
R005,2024-10-22T11:58:05,179.0,T2,surprise,驚き,50,True
R005,2024-10-22T11:58:05,179.0,T2,sadness,悲しみ,50,True
R005,2024-10-22T11:58:05,179.0,T2,anger,怒り,50,True
R005,2024-10-22T11:58:05,179.0,T3,interest,面白さ,59,True
R005,2024-10-22T11:58:05,179.0,T3,surprise,驚き,74,True
R005,2024-10-22T11:58:05,179.0,T3,sadness,悲しみ,4,True
R005,2024-10-22T11:58:05,179.0,T3,anger,怒り,3,True
R006,2024-10-15T11:39:55,364.0,T1,interest,面白さ,56,True
R006,2024-10-15T11:39:55,364.0,T1,surprise,驚き,29,True
R006,2024-10-15T11:39:55,364.0,T1,sadness,悲しみ,0,True
R006,2024-10-15T11:39:55,364.0,T1,anger,怒り,0,True
R006,2024-10-15T11:39:55,364.0,T2,interest,面白さ,69,True
R006,2024-10-15T11:39:55,364.0,T2,surprise,驚き,35,True
R006,2024-10-15T11:39:55,364.0,T2,sadness,悲しみ,63,True
