respondent_uid,n_nonmissing,is_complete_case,duration_sec
R001,12,True,111.0
R002,12,True,32.0
R003,12,True,117.0
R004,12,True,164.0
R005,12,True,179.0
R006,12,True,364.0
R007,12,True,3626.0
R008,12,True,2527.0
R009,12,True,1449.0
R010,12,True,101.0
R011,12,True,281.0
R012,12,True,302.0
R013,12,True,31.0
R014,12,True,162.0
R015,12,True,131.0
R016,12,True,160.0
R017,12,True,290.0
R018,12,True,186.0
R019,8,False,118.0
R020,12,True,263.0
R021,12,True,262.0
R022,12,True,161.0
R023,12,True,39.0
R024,12,True,4423.0
R025,12,True,209.0
R026,12,True,117.0
R027,12,True,238.0
R028,12,True,143.0
R029,12,True,180.0
R030,12,True,115.0
R031,12,True,181.0
R032,12,True,205.0
R033,12,True,62.0
R034,4,False,101.0
R035,12,True,119.0
R036,12,True,186.0
R037,12,True,161.0
R038,12,True,112.0
R039,12,True,180.0
R040,12,True,34.0
R041,12,True,118.0
R042,12,True,118.0
R043,12,True,81.0
R044,12,True,73.0
R045,12,True,36.0
R046,12,True,50.0
R047,12,True,89.0
R048,12,True,38.0
R049,12,True,28.0
R050,12,True,80.0
R051,12,True,3353.0
R052,12,True,126.0
R053,12,True,303.0
R054,12,True,2327.0
R055,12,True,255.0
R056,12,True,187.0
R057,12,True,210.0
R058,12,True,188.0
R059,12,True,150.0
R060,12,True,232.0
R061,12,True,165.0
R062,12,True,116.0
R063,12,True,115.0
R064,12,True,128.0
R065,4,False,65.0
R066,12,True,1176.0
R067,12,True,58.0
R068,12,True,109.0
R069,12,True,198.0
R070,12,True,208.0
R071,12,True,187.0
R072,12,True,155.0
R073,12,True,290.0
R074,12,True,196.0
R075,12,True,169.0
R076,12,True,191.0
R077,12,True,109.0
R078,12,True,154.0
R079,12,True,91.0
R080,12,True,209.0
R081,12,True,116.0
R082,12,True,67.0
R083,12,True,125.0
R084,4,False,169.0
R085,12,True,116.0
R086,12,True,142.0
R087,12,True,142.0
R088,4,False,48.0
R089,12,True,363.0
R090,12,True,209.0
R091,12,True,288.0
