story_id,emotion,emotion_ja,n,mean,sd,median,p25,p75,min,max
T1,anger,怒り,91,24.956,24.677,19.0,0.0,45.0,0.0,73.0
T1,interest,面白さ,91,63.1099,17.7585,64.0,55.0,76.5,0.0,100.0
T1,sadness,悲しみ,91,30.7363,24.5256,31.0,3.0,51.0,0.0,81.0
T1,surprise,驚き,91,48.4945,22.2912,50.0,34.5,65.0,0.0,100.0
T2,anger,怒り,87,34.7701,24.0869,34.0,13.5,53.5,0.0,88.0
T2,interest,面白さ,87,53.3448,21.1181,57.0,39.0,68.0,0.0,100.0
T2,sadness,悲しみ,87,50.6667,25.4415,59.0,36.5,65.5,0.0,92.0
T2,surprise,驚き,87,46.023,25.0655,49.0,28.0,64.5,0.0,100.0
T3,anger,怒り,86,23.3256,23.4483,15.0,0.25,39.0,0.0,70.0
T3,interest,面白さ,86,73.2442,20.4266,71.5,63.0,91.0,16.0,100.0
T3,sadness,悲しみ,86,23.0581,24.3969,19.5,0.0,38.0,0.0,100.0
T3,surprise,驚き,86,61.6977,20.7467,65.0,55.25,73.0,0.0,100.0
